"draw","transmission_row","R0_scenario","coverage","ve_cross_protection","delivery","delay_weeks","hosp_rate","cfr_hosp_band_1","cfr_hosp_band_2","cfr_hosp_band_3","cfr_hosp_band_4","cfr_hosp_band_5","cfr_hosp_band_6","cfr_hosp_band_7","cfr_hosp_band_8","cfr_hosp_band_9","cfr_nonhosp_band_1","cfr_nonhosp_band_2","cfr_nonhosp_band_3","cfr_nonhosp_band_4","cfr_nonhosp_band_5","cfr_nonhosp_band_6","cfr_nonhosp_band_7","cfr_nonhosp_band_8","cfr_nonhosp_band_9","dw_mild_mod","dw_severe","dw_chronic","dur_mild_mod","dur_severe","dur_subacute","dur_chronic","life_expectancy_band_1","life_expectancy_band_2","life_expectancy_band_3","life_expectancy_band_4","life_expectancy_band_5","life_expectancy_band_6","life_expectancy_band_7","life_expectancy_band_8","life_expectancy_band_9","rec_acute","rec_subacute","rec_chronic"
19,19,"high",0.388317390089395,0.187370123744387,0.097851909501379,2,0.0583234216879528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477577856389066,0.110158054031818,0.369459114606349,0.0216282809927863,0.0724035958933245,0.0604190141700427,0.431888263101647,75.7024045820584,62.7987045904433,51.7275710991486,42.7957677672496,33.2681948323232,24.104669896868,16.3075879140013,11.3101577836141,6.35867463147582,0.0218453969959809,0.260054745712683,0.718099857291337
20,20,"high",0.335825033908226,0.344594425647099,0.105365972463458,2,0.0539720880359659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516715748246944,0.164677642611557,0.199798470744448,0.0188016554095896,0.011471983363411,0.125547797437584,0.484778063394318,71.7706427714623,59.911008699209,50.9830278725778,44.5623872084424,35.9353665183015,25.6559343608204,17.3754541441551,11.5123052643867,6.33904120505618,0.0492303624106503,0.310535413797088,0.640234223792262
21,21,"high",0.235351343761026,0.106622225032323,0.09221285053644,1,0.0425751876453447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562988982908813,0.134016170766823,0.119648352351891,0.0210078320165973,0.0508887921448043,0.135123857734917,0.507844083782667,70.157529334413,61.9866785861741,54.6103313434957,43.0948337737012,34.7075397034928,27.178910295634,16.7463743408436,11.2532668893519,5.69981987639462,0.0204143251969056,0.192959275505662,0.786626399297433
22,22,"high",0.239893300388023,0.484414270013971,0.0971403102172724,1,0.0543306793477849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597398378829792,0.134870259248221,0.296587030936945,0.0199828489581694,0.0166667629152264,0.0761333769183183,0.588667962337085,66.7632252096385,65.6597333782826,55.7153222908379,46.7656461380411,32.2765197551003,23.1885313259051,18.7000392959254,10.4549865653628,5.94454779238445,0.086128667073165,0.274789751429229,0.639081581497606
23,23,"high",0.284087875717728,0.240986479530784,0.106253944633094,2,0.0448733312269101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369422538398849,0.139832761326173,0.215701952411844,0.0178832241626885,0.0273785159577783,0.0656001591473406,0.620881069010715,68.5044969516815,60.1535095345449,49.619171043001,44.0013719449086,34.74837285503,26.1160599697414,16.2272764473832,10.843596164088,6.61110407674465,0.0452489887723618,0.256216266508028,0.69853474471961
24,24,"high",0.287776400145488,0.311209640246756,0.0993681054857432,2,0.0519698136494432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493161332215432,0.150136044584792,0.280765395474256,0.0279756752075311,0.0350531419370755,0.142732797060871,0.533738933532141,73.0089314872747,63.0013739886586,49.7755446292268,42.2720130701922,35.4663925788391,27.2996215621046,16.6094184855367,10.9544755900437,6.50066156469657,0.0690577659755295,0.356011152356354,0.574931081668117
25,25,"high",0.25389935667514,0.218291479258508,0.0942346956329009,2,0.0459881844004265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064323855953622,0.109218726079515,0.118327865780834,0.0183438786247853,0.0271599121806588,0.0352775593115442,0.56190067817853,71.159109268149,60.3376296932011,51.7985305740262,38.3706694333064,33.451753683167,25.1413531316131,17.3403057671735,11.4810832060113,6.34710146709769,0.0626430856230997,0.214049441277019,0.723307473099881
26,26,"high",0.356058506852468,0.335399614387533,0.0947986456754243,1,0.0484417648426378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0500592454825035,0.159500178252654,0.368234217625091,0.0213798348941207,0.0220483036336922,0.0593979622575301,0.567262355451887,73.1161048086452,60.1490901283381,53.9489468472977,48.2172130294371,33.1545824341437,26.0296962377932,17.2431581787608,10.7058481249801,5.81868301219209,0.00767089317622675,0.390097333223218,0.602231773600556
27,27,"high",0.30887448534109,0.219145678181586,0.0845123231120143,2,0.0648451401841703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0636464001918682,0.132077101502659,0.236258214573243,0.0243303047160648,0.0283255139941629,0.0470643840584792,0.53003820952083,78.0197886801092,59.8161224659898,51.0882863577751,41.5489149678443,34.6828028627759,24.2510373946469,16.539221094866,11.9515342102658,6.17709312895167,0.0193080480969768,0.0324255205936571,0.948266431309366
28,28,"high",0.264061423284108,0.322768695694076,0.0927285381478374,2,0.0503247041707484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537882717146115,0.176807269467862,0.30740410278594,0.0214922543625215,0.0165050341615168,0.186362731608439,0.49974177966592,71.1219953630962,58.6691923718324,52.8668803957071,43.4068081361761,32.0280510447806,26.106188490604,19.4812768247295,10.9621408619644,6.67045738982644,0.0313379791301453,0.226824103607344,0.741837917262511
29,29,"high",0.28012553213674,0.136840943092491,0.0976867880375707,2,0.0436176498092575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452132584680263,0.125169329873437,0.362104261856694,0.01815297108496,0.0216403440560964,0.0768281406018404,0.609924764347301,69.7446368725293,64.7976981197265,53.164633165272,41.8222288436388,35.2324389614434,25.6352088647092,19.2321281910251,11.172537875122,6.0223501227161,0.0175471560078462,0.240902276207301,0.741550567784853
30,30,"high",0.186497064521444,0.298854320583945,0.0963509582076959,2,0.0544894273878634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0440551792606809,0.13987574852124,0.138311784569842,0.0273629350896918,0.0178900876209156,0.0753249006159832,0.504100719358857,68.6340098670366,69.7356485744843,56.0345416007698,44.4119993146239,36.1513887108498,26.0792309864965,16.9285659658504,10.580295976738,5.9776383101059,0.00677034774031273,0.221668211443072,0.771561440816615
31,31,"high",0.282488087775,0.432684539764441,0.107534006876138,2,0.0495523091230029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513880665435449,0.116942520133695,0.352586650228404,0.0228105403836526,0.0131405947581599,0.170627437395007,0.539728577441924,70.8595906315314,58.7145139950608,55.9365173311546,42.0081564731375,33.2926966766983,26.8490466079062,17.8303917838992,10.8601496437206,6.54275567155761,0.108544910036628,0.419016737403678,0.472438352559694
32,32,"high",0.317836924405913,0.413918864788708,0.090789507836305,3,0.0502148051916833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505154508526604,0.126635390408051,0.619109838362585,0.0156107630067108,0.0180253059547537,0.072400961289256,0.539063804689866,67.0627379581324,59.6324344335179,52.5192451278158,35.9317822736219,32.9661865491138,25.1957931181174,18.3960622689557,11.0275631955565,6.25914660551589,0.048201276344443,0.211456133269636,0.740342590385921
33,33,"high",0.355730686765665,0.252708456917414,0.0985853184872506,2,0.0593440481463111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442578766536504,0.138086281669981,0.335098688120168,0.0192727239301395,0.0471070978526545,0.0422771990089383,0.53011310843572,70.2467906664165,60.4385702188785,51.4398501018502,45.066994734874,34.9362425463292,23.8439402324945,17.5792502085161,11.296274538264,6.06196897887681,0.0204254107083501,0.186800265448308,0.792774323843342
34,34,"high",0.282913405864259,0.27503726161335,0.100556562487448,3,0.048799926915715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501266402337579,0.100828028419978,0.105318110776097,0.0201053568612021,0.0204110884380421,0.0531841744061834,0.592265942222376,71.3250464520544,61.7992109242445,51.9191560349958,40.5151066366313,32.358755220406,25.1710888834767,18.9146253036706,10.6681484786448,6.63721968443566,0.0601982723761987,0.143765225129858,0.796036502493943
35,35,"high",0.282791113318981,0.628219083664463,0.0956184897795588,1,0.0533871104518288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484618240298121,0.110803988350367,0.178379991455658,0.0211302868733367,0.0516798267283612,0.134464045689494,0.50991771073638,69.9883145807338,61.1667194220072,56.996404891284,46.327373389934,31.7005837024071,23.5923278302884,17.0515425664491,11.1359060452679,5.97618385930617,0.00218221665297363,0.257392254807713,0.740425528539313
36,36,"high",0.338257148321621,0.334601405379757,0.100846398998551,2,0.0559656623536301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058185047655323,0.0930485174312941,0.199459994277745,0.0191533932532017,0.0161248415283438,0.107264966426934,0.499168878819925,68.6044024622286,64.2622173214819,54.3573907352369,41.4515747769348,34.3666543377489,26.9558911279235,18.1400925389916,10.8059701311223,6.06581722278708,0.0637773654775869,0.16298882476769,0.773233809754724
37,37,"high",0.324405312049017,0.129251699385897,0.0999356018417412,3,0.0439074836543974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499074500760075,0.166189982567375,0.263725529481493,0.0175182029093942,0.0193692202075586,0.064726143172265,0.483728073589179,68.8157601820298,64.9667053517067,54.3418738565808,38.8927895071854,31.419368165041,24.9593867217712,16.3359684991831,12.0709486680424,6.3693564087934,0.0536578019576887,0.240193517844847,0.706148680197464
38,38,"high",0.293784427729384,0.293423988160263,0.106216784206817,2,0.0548897066453491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0432380196090373,0.140321839558151,0.206414600296989,0.018338943989006,0.0231441554563689,0.139935349328748,0.521946547112183,67.4927139651147,63.4624221690859,55.1913403448755,41.4324960220348,33.9245352842992,24.5198609486495,18.1064831228683,10.8503638910936,5.91557586508004,0.102632424951065,0.285075383080733,0.612292191968202
39,39,"high",0.351859166895443,0.275380192976778,0.101843229398888,2,0.0383352506678642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476745199755812,0.216276373350791,0.0811214305064716,0.015544317896757,0.0136472614132916,0.0654892525781474,0.486580096878215,67.4779312854601,64.3926128100437,51.9269916470285,47.5342509405241,30.2214362083476,26.3401000776621,18.7707584941357,9.7403420877865,5.91395689838692,0.143736802867147,0.293220561902485,0.563042635230368
40,40,"high",0.420808069676132,0.291962834522328,0.103901153065166,3,0.0542112491527799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555427408205226,0.112157792342295,0.513415916144591,0.0145057523028438,0.0104305227628273,0.288418366946265,0.592811767624334,74.3698285609126,66.4217540040442,50.833074416901,42.0713702783517,33.464681689267,26.6515198574847,17.6301113769288,10.3996795814179,5.90831439288569,0.0399993022744282,0.209277720641374,0.750722977084198
41,41,"high",0.302582495553639,0.458263370635047,0.0956884111679835,2,0.0522988259862142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474114955928071,0.113898840375853,0.261843093360235,0.018973976768992,0.048417054903678,0.0817415774709833,0.538418741923046,74.7560017845843,60.184612709653,49.5202850160122,42.2628224341062,33.2832218531852,23.861418817318,17.0144611802796,11.3688857167294,5.83852318341758,0.139931594059937,0.336079967475352,0.523988438464711
42,42,"high",0.296119702784646,0.221809108521895,0.0962409844640118,2,0.0502664238423878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380583174564156,0.178420698643842,0.371115438015909,0.0227614165408769,0.0388383485906086,0.0609178220170214,0.539656706318118,72.8349394069783,53.9679391695263,57.610805651558,43.6474132173439,36.4103191698385,24.790037376588,19.3618096027255,10.608642026908,5.74086271932671,0.114737551032522,0.361062941735822,0.524199507231656
43,43,"high",0.234046408866038,0.309392975377512,0.0942996184700544,2,0.0480988225481039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484426512166113,0.121788746517801,0.395492368584253,0.0138380132452859,0.0275754002836419,0.0669881207177017,0.50485649843026,75.6381678785534,58.0119139861535,54.5828620836536,41.294690661041,32.7137723078435,25.1157099163936,17.6780614731565,11.3475871606855,6.21108701688218,0.238368502424889,0.111630964548659,0.650000533026452
44,44,"high",0.299220324744503,0.324549591525018,0.109670208082118,2,0.052612646399643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0573195557077382,0.161142931768946,0.275246507352951,0.0180139923087592,0.0405377946342454,0.154129956136948,0.495709302754465,66.6906638948349,63.1907031090944,55.7245033032922,46.0611795993679,35.3358523277294,24.4909549420984,18.8312779521467,10.7443507592871,6.19587521755955,0.128811531858927,0.237237822386236,0.633950645754837
45,45,"high",0.37267894224163,0.308316416390668,0.0980833556047302,2,0.0538496784452198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428136581032922,0.171047172541879,0.519340293051642,0.016092918183937,0.0161090395688317,0.0558458243815053,0.520156621789406,71.5526106281584,59.4983424885339,54.8096842221439,41.0827894593294,33.7055032533689,25.40546589803,18.7603254345464,9.72512126029754,6.2468220524919,0.129056810437527,0.326527566579568,0.544415622982904
46,46,"high",0.311509062306459,0.273622976646126,0.105204387728218,1,0.0555846239948333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612969383869468,0.107160416970316,0.37367405790321,0.0183761540964033,0.0134953563216853,0.095178561035107,0.532056075080722,70.389946183119,61.469570782902,50.0230986946127,42.6845596762764,32.6485708496305,24.8654186275426,17.1306314225338,10.1372543457259,5.81213816109024,0.17230020620599,0.173383926742785,0.654315867051225
47,47,"high",0.393044834551329,0.21050948261937,0.100455058916767,3,0.0608954615220512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672772978665481,0.147547633385425,0.126025953692808,0.0205692002621635,0.0354425099033357,0.117267549892725,0.476405364940964,70.7488085935162,55.7213646760481,52.2081446641021,42.5904873447504,34.3789620909984,25.2512893322241,18.3791597624896,10.2807531237263,6.23439242085432,0.169486397464771,0.250754036434101,0.579759566101128
48,48,"high",0.30651903239664,0.490547859347699,0.0963965831747741,1,0.0488035874584985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316476272511675,0.156414835858584,0.215946587856963,0.0180838659656096,0.022428528800033,0.187716860924731,0.577134725809143,68.1539394091635,62.3686184176704,52.5092402904841,45.5627434721806,35.5367328086727,24.4999639495092,16.6105762791614,11.8400073672338,6.45453587694028,0.0153522542641502,0.376314098377377,0.608333647358473
49,49,"high",0.359991333015289,0.289538267718168,0.0914684662268235,1,0.0479438235076452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048269040974548,0.171856587463889,0.193019356427005,0.0167963575186317,0.0192553549577511,0.117774912283334,0.47590875125144,66.6469369731434,65.6804622931523,54.4813749949283,40.0411591141283,33.0973397240451,28.9884596850397,17.7669290811887,10.9863696720135,5.76258647890534,0.0731480975723183,0.0680901299175807,0.858761772510101
50,50,"high",0.31276793018172,0.184050125353322,0.0991083490078738,2,0.0495800330058829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461998180268301,0.114595876430402,0.356514499286533,0.0199169879871398,0.0194267336529952,0.134374430258003,0.585310857242496,72.23192071792,62.9494793571053,55.9641829121038,45.3775117711294,32.9998823673209,24.535339903354,16.5325293362865,10.9496475280836,6.02112391786973,0.0434009539811647,0.290400910690873,0.666198135327962
51,51,"high",0.334206124361283,0.711308560990271,0.105342001709099,2,0.0475819479343201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488469998130924,0.184946859608069,0.257922208550282,0.0219595938475047,0.0255015939567598,0.0412718127715512,0.497212581321968,72.6279246239121,57.4975607400683,55.2050348977305,41.4832403674318,35.1322600222626,25.0697123898669,16.7461470164885,10.8894973753762,5.92609203440743,0.0121904302480656,0.220699238019694,0.76711033173224
52,52,"high",0.332175906488141,0.355000226300713,0.0991901571398707,3,0.0435243576800765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0679468984798723,0.0995243797480436,0.158372567298903,0.0178494616344663,0.0137945199944446,0.0707836488907342,0.581201658793036,70.2094961524504,63.3251041551876,53.5150240369017,43.9514875030979,33.6087202768889,25.0894064546788,17.3514916834673,11.2839797281708,5.97934717474504,0.0493214395825976,0.191918845130052,0.758759715287351
53,53,"high",0.21897222861544,0.232551988128385,0.0982769979301556,1,0.0479186434927212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547019541454705,0.151606916051345,0.313796779939852,0.023113277849999,0.0227968469384693,0.136156822060879,0.496729929287401,66.9957829880039,66.6140105809512,51.548099190656,43.0845047311888,34.3063398268023,25.8822839261538,17.8549431714387,11.6589282244932,6.07031682265975,0.0790466768665896,0.187757203161128,0.733196119972282
54,54,"high",0.270749217839363,0.281681807060627,0.0961693143284785,2,0.0551372138691356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535487408553552,0.168156625016267,0.509204985890107,0.0216025552480386,0.0339089249716957,0.0559208802387242,0.54034137291974,75.0325866287207,58.8174837804045,50.9118634274311,45.0069168496654,29.6501033340805,24.5639130104969,18.2186555361238,10.1999061662624,6.48835889000851,0.0226131838935792,0.110708341057881,0.86667847504854
55,55,"high",0.200970353257947,0.20169269573464,0.100963772444023,3,0.0481373386230309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417079959478465,0.126164461094119,0.312562077037778,0.0203954180338137,0.0105190953800577,0.0507151678686497,0.56328030180637,74.3269344021889,58.4133373048526,51.6767028774955,41.6069229845723,35.0571946973145,24.4015399828019,18.8508718587911,11.0714176095637,6.02548952386776,0.0601784288778167,0.227416979491968,0.712404591630215
56,56,"high",0.339506864143347,0.273047918864427,0.110406459896919,1,0.0476799633268493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060652971048957,0.148805416198462,0.182169916362364,0.0229224244243719,0.0323382298796471,0.161140450732172,0.580029468606808,74.5024396023334,62.2221219183677,53.3328620697269,43.6201366296939,32.1492724373162,26.4219392976835,17.0279604730614,10.5907502550415,6.07179502364855,0.0106694497839805,0.170892296463478,0.818438253752541
